         51063467 function calls (49002903 primitive calls) in 436.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.329    0.021 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\ssl.py:1014(_create)
       16    0.000    0.000    0.328    0.021 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\ssl.py:1335(do_handshake)
       16    0.328    0.021    0.328    0.021 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    29614    0.298    0.000    0.314    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:451(__init__)
      383    0.313    0.001    0.313    0.001 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
     1608    0.004    0.000    0.297    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\modeling_xlm_roberta.py:289(__init__)
     1221    0.109    0.000    0.293    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\postprocess\rec_postprocess.py:136(decode)
 4536/756    0.004    0.000    0.271    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\base.py:1106(_ensure_tensor_on_device)
      756    0.002    0.000    0.270    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\base.py:1112(<dictcomp>)
     2169    0.259    0.000    0.270    0.000 {method 'join' of 'bytes' objects}
       16    0.000    0.000    0.266    0.017 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connection.py:192(_new_conn)
       16    0.000    0.000    0.266    0.017 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\util\connection.py:27(create_connection)
1248411/178086    0.245    0.000    0.265    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:2333(named_modules)
541111/540323    0.105    0.000    0.262    0.000 {built-in method builtins.hasattr}
      201    0.016    0.000    0.256    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:1915(tie_weights)
     1608    0.009    0.000    0.248    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\modeling_xlm_roberta.py:154(__init__)
     7146    0.056    0.000    0.242    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_det.py:171(order_points_clockwise)
  1382314    0.240    0.000    0.240    0.000 {method 'items' of 'collections.OrderedDict' objects}
     7146    0.041    0.000    0.237    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_det.py:190(clip_det_res)
    28584    0.052    0.000    0.220    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\shapely\decorators.py:62(wrapped)
1359531/1153418    0.111    0.000    0.216    0.000 {built-in method builtins.isinstance}
